phase,svg_z
Encoding,2.305752
Encoding,-0.923181
Encoding,4.597711
Encoding,1.637744
Encoding,-0.16535
Encoding,2.133214
Encoding,1.144819
Encoding,2.108371
Encoding,3.070555
Encoding,0.238319
Encoding,-1.189047
Encoding,0.790939
Encoding,-0.087023
Encoding,2.273263
Encoding,4.686633
Encoding,1.068343
Encoding,1.620028
Encoding,-0.356657
Encoding,1.724023
Encoding,2.030178
Encoding,0.078995
Encoding,0.740039
Encoding,1.777004
Encoding,1.827185
Encoding,5.506288
Encoding,2.473633
Encoding,1.101313
Encoding,-0.305305
Encoding,0.383986
Encoding,4.343493
Encoding,2.258949
Encoding,3.421564
Encoding,2.977303
Encoding,3.005024
Encoding,2.388356
Encoding,-0.010592
Encoding,4.085374
Encoding,2.376899
Encoding,0.141878
Encoding,3.753047
Encoding,1.429063
Encoding,1.908325
Encoding,2.077864
Encoding,0.440057
Encoding,1.337551
Encoding,1.747584
Encoding,2.706459
Encoding,0.352565
Encoding,1.758862
Encoding,1.884497
Encoding,2.564369
Encoding,3.313444
Encoding,2.081472
Encoding,-0.672137
Encoding,0.267261
Encoding,0.412226
Encoding,-0.383506
Encoding,1.738933
Encoding,-0.148656
Encoding,1.517586
Encoding,1.491023
Encoding,-2.418143
Encoding,1.058983
Encoding,0.826002
Encoding,2.374286
Encoding,3.275525
Encoding,1.452051
Encoding,-0.511565
Encoding,0.605718
Encoding,0.296585
Encoding,-1.189863
Encoding,-0.024969
Encoding,-0.868502
Decoding,0.318221
Decoding,-0.481428
Decoding,-0.541137
Decoding,-0.921624
Decoding,0.828019
Decoding,1.555962
Decoding,0.315373
Decoding,0.250421
Decoding,1.27053
Decoding,-0.436861
Decoding,0.106475
Decoding,-1.108892
Decoding,2.153473
Decoding,0.869228
Decoding,0.198436
Decoding,-0.292939
Decoding,-0.70186
Decoding,-0.963741
Decoding,1.847853
Decoding,0.12414
Decoding,1.295706
Decoding,2.117316
Decoding,1.132425
Decoding,-0.949832
Decoding,1.365532
Decoding,0.644135
Decoding,0.27414
Decoding,1.456946
Decoding,-1.936728
Decoding,-1.125504
Decoding,-0.063111
Decoding,-0.290921
Decoding,1.128002
Decoding,0.766438
Decoding,1.496087
Decoding,3.366478
Decoding,-0.6025
Decoding,-0.80044
Decoding,0.566289
Decoding,0.788538
Decoding,-0.167089
Decoding,-1.604968
Decoding,-0.196456
Decoding,2.628302
Decoding,-1.010002
Decoding,1.539349
Decoding,-1.520218
Decoding,0.004447
Decoding,0.87865
Decoding,-1.168423
Decoding,-0.032259
Decoding,0.153319
Decoding,0.818435
Decoding,0.306833
Decoding,-0.625771
Decoding,-1.064549
Decoding,-0.033703
Decoding,-1.126515
Decoding,0.345877
Decoding,1.175095
Decoding,-1.02837
Decoding,-0.63251
Decoding,-0.020923
Decoding,-0.710343
Decoding,0.733089
Decoding,0.018788
Decoding,0.012783
Decoding,0.656337
Decoding,-0.505286
Decoding,-0.379442
Decoding,1.158582
Decoding,-0.14946
Decoding,0.724589
Decoding,1.289033
Decoding,-1.306166
Decoding,0.148202
Decoding,-0.880151
Decoding,-0.810111
Decoding,0.517849
Decoding,1.243391
Decoding,0.07044
Decoding,-0.049665
Decoding,-0.222458
Decoding,0.10635
Decoding,-0.499393
Decoding,0.364068
Decoding,1.329524
Decoding,0.408758
Decoding,2.865198
Decoding,1.068055
Decoding,1.364864
Decoding,0.855981
Decoding,-1.068241
Decoding,-0.023239
Decoding,0.853957
Decoding,-0.290182
Decoding,1.240296
Decoding,0.796965
Decoding,2.547559
Decoding,0.642639
Decoding,2.539815
Decoding,2.415888
Decoding,-0.393193
Decoding,0.937838
Decoding,1.633731
Decoding,-1.292156
Decoding,-0.314094
Decoding,1.316784
Decoding,-0.023248
Decoding,1.057662
Decoding,1.833169
Decoding,-0.844904
