svg_z_dec_within_z,pred_total,ci_lower,ci_upper
1.0500188350099287,0.6071910522853879,0.5690734785030486,0.6453086260677273
1.0822856015630011,0.6075230052740679,0.5687695757145458,0.64627643483359
1.114552368116074,0.6078549582627479,0.5684538649137142,0.6472560516117817
1.146819134669147,0.608186911251428,0.5681269188091499,0.6482469036937061
1.1790859012222195,0.6085188642401079,0.567789282671509,0.6492484458087069
1.2113526677752924,0.608850817228788,0.5674414750710982,0.6502601593864777
1.2436194343283653,0.609182770217468,0.5670839887147481,0.651281551720188
1.2758862008814382,0.609514723206148,0.566717291355667,0.652312155056629
1.3081529674345107,0.609846676194828,0.5663418267538627,0.6533515256357934
1.3404197339875836,0.6101786291835081,0.5659580156682341,0.654399242698782
1.3726865005406566,0.610510582172188,0.5655662568645914,0.6554549074797846
1.404953267093729,0.6108425351608681,0.5651669281266469,0.6565181421950892
1.437220033646802,0.6111744881495481,0.5647603872594544,0.6575885890396418
1.4694868001998749,0.611506441138228,0.5643469730768867,0.6586659091995694
1.5017535667529478,0.6118383941269081,0.5639270063665518,0.6597497818872644
1.5340203333060203,0.6121703471155882,0.5635007908270884,0.6608399034040879
1.5662870998590932,0.6125023001042681,0.563068613974086,0.6619359862344502
1.5985538664121661,0.6128342530929481,0.5626307480119587,0.6630377581739376
1.6308206329652386,0.6131662060816282,0.5621874506700041,0.6641449614932523
1.6630873995183115,0.6134981590703081,0.5617389660016259,0.6652573521389904
