SubjectID,StimID,TrialID,QuestionNumber,q_accuracy,svg_z_inter_dec,svg_z_all_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,PresentOrder,svg_z_inter_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-2-1,2397102,Encode-Decode_Experiment-2-1_2397102,1.0,1.0,,,15,1.0,0.095861,False,1.0,1.0,,0.6999874848419431,0.41061976358289315,-0.6004986964604567
Encode-Decode_Experiment-2-1,2397102,Encode-Decode_Experiment-2-1_2397102,2.0,0.0,,,15,1.0,0.095861,False,1.0,2.0,,0.6999874848419431,0.41061976358289315,-0.6004986964604567
Encode-Decode_Experiment-2-1,2411268,Encode-Decode_Experiment-2-1_2411268,1.0,0.0,,,8,1.0,0.095722,False,3.0,1.0,,-1.2931972177588436,0.41061976358289315,-0.6015729006242913
Encode-Decode_Experiment-2-1,2411268,Encode-Decode_Experiment-2-1_2411268,2.0,1.0,,,8,1.0,0.095722,False,3.0,2.0,,-1.2931972177588436,0.41061976358289315,-0.6015729006242913
Encode-Decode_Experiment-2-1,2385851,Encode-Decode_Experiment-2-1_2385851,1.0,1.0,-0.82903,-0.855739,15,1.0,0.266301,False,4.0,2.0,-0.5888467408029727,0.6999874848419431,0.41061976358289315,0.7166765386759745
Encode-Decode_Experiment-2-1,2385851,Encode-Decode_Experiment-2-1_2385851,2.0,0.0,-0.82903,-0.855739,15,1.0,0.266301,False,4.0,1.0,-0.5888467408029727,0.6999874848419431,0.41061976358289315,0.7166765386759745
Encode-Decode_Experiment-2-1,2374670,Encode-Decode_Experiment-2-1_2374670,1.0,1.0,-0.429079,-0.48939,6,1.0,0.177617,False,3.0,1.0,-0.3789053206305613,-1.8626785613590684,0.41061976358289315,0.031318825974500204
Encode-Decode_Experiment-2-1,2374670,Encode-Decode_Experiment-2-1_2374670,2.0,1.0,-0.429079,-0.48939,6,1.0,0.177617,False,3.0,2.0,-0.3789053206305613,-1.8626785613590684,0.41061976358289315,0.031318825974500204
Encode-Decode_Experiment-2-1,2347400,Encode-Decode_Experiment-2-1_2347400,1.0,1.0,,,13,1.0,0.068132,False,2.0,1.0,,0.13050614124171833,0.41061976358289315,-0.8147908350141888
Encode-Decode_Experiment-2-1,2347400,Encode-Decode_Experiment-2-1_2347400,2.0,1.0,,,13,1.0,0.068132,False,2.0,2.0,,0.13050614124171833,0.41061976358289315,-0.8147908350141888
Encode-Decode_Experiment-2-1,2409918,Encode-Decode_Experiment-2-1_2409918,1.0,0.0,-0.287814,-0.392176,11,1.0,0.206659,False,3.0,1.0,-0.3047528001451626,-0.4389752023585064,0.41061976358289315,0.2557579434283388
Encode-Decode_Experiment-2-1,2409918,Encode-Decode_Experiment-2-1_2409918,2.0,1.0,-0.287814,-0.392176,11,1.0,0.206659,False,3.0,2.0,-0.3047528001451626,-0.4389752023585064,0.41061976358289315,0.2557579434283388
Encode-Decode_Experiment-2-1,2356991,Encode-Decode_Experiment-2-1_2356991,1.0,1.0,,,12,1.0,0.09928,False,1.0,1.0,,-0.15423453055839403,0.41061976358289315,-0.5740763652651302
Encode-Decode_Experiment-2-1,2356991,Encode-Decode_Experiment-2-1_2356991,2.0,1.0,,,12,1.0,0.09928,False,1.0,2.0,,-0.15423453055839403,0.41061976358289315,-0.5740763652651302
Encode-Decode_Experiment-2-1,150472,Encode-Decode_Experiment-2-1_150472,1.0,0.0,-0.2492,-0.34441,12,1.0,0.03711,False,2.0,2.0,-0.2844836221745175,-0.15423453055839403,0.41061976358289315,-1.0545315657370375
Encode-Decode_Experiment-2-1,150472,Encode-Decode_Experiment-2-1_150472,2.0,1.0,-0.2492,-0.34441,12,1.0,0.03711,False,2.0,1.0,-0.2844836221745175,-0.15423453055839403,0.41061976358289315,-1.0545315657370375
Encode-Decode_Experiment-9-1,2360001,Encode-Decode_Experiment-9-1_2360001,1.0,1.0,8.523917,6.142525,20,1.0,0.152721,False,5.0,2.0,4.320682116425274,2.123690843842505,0.41061976358289315,-0.16107964066453165
Encode-Decode_Experiment-9-1,2360001,Encode-Decode_Experiment-9-1_2360001,2.0,1.0,8.523917,6.142525,20,1.0,0.152721,False,5.0,1.0,4.320682116425274,2.123690843842505,0.41061976358289315,-0.16107964066453165
Encode-Decode_Experiment-9-1,2348899,Encode-Decode_Experiment-9-1_2348899,1.0,1.0,,,9,1.0,0.201179,False,2.0,1.0,,-1.0084565459587311,0.41061976358289315,0.21340802387572402
Encode-Decode_Experiment-9-1,2348899,Encode-Decode_Experiment-9-1_2348899,2.0,1.0,,,9,1.0,0.201179,False,2.0,2.0,,-1.0084565459587311,0.41061976358289315,0.21340802387572402
Encode-Decode_Experiment-9-1,2379478,Encode-Decode_Experiment-9-1_2379478,1.0,0.0,,1.105631,8,0.625,0.297391,False,1.0,2.0,,-1.2931972177588436,-5.555121528247774,0.9569427793494762
Encode-Decode_Experiment-9-1,2379478,Encode-Decode_Experiment-9-1_2379478,2.0,1.0,,1.105631,8,0.625,0.297391,False,1.0,1.0,,-1.2931972177588436,-5.555121528247774,0.9569427793494762
Encode-Decode_Experiment-9-1,150472,Encode-Decode_Experiment-9-1_150472,1.0,1.0,-0.721759,-1.08247,16,0.9375,0.151316,False,2.0,1.0,-0.5325382778079689,0.9847281566420555,-0.583670451722218,-0.17193760361552127
Encode-Decode_Experiment-9-1,150472,Encode-Decode_Experiment-9-1_150472,2.0,1.0,-0.721759,-1.08247,16,0.9375,0.151316,False,2.0,2.0,-0.5325382778079689,0.9847281566420555,-0.583670451722218,-0.17193760361552127
Encode-Decode_Experiment-9-1,2386442,Encode-Decode_Experiment-9-1_2386442,1.0,1.0,,,15,1.0,0.096814,False,2.0,1.0,,0.6999874848419431,0.41061976358289315,-0.5931338290638067
Encode-Decode_Experiment-9-1,2386442,Encode-Decode_Experiment-9-1_2386442,2.0,0.0,,,15,1.0,0.096814,False,2.0,2.0,,0.6999874848419431,0.41061976358289315,-0.5931338290638067
Encode-Decode_Experiment-9-1,2350974,Encode-Decode_Experiment-9-1_2350974,1.0,1.0,-0.43944,-0.509676,14,1.0,0.094919,False,2.0,1.0,-0.3843439945041267,0.4152468130418307,0.41061976358289315,-0.607778554894501
Encode-Decode_Experiment-9-1,2350974,Encode-Decode_Experiment-9-1_2350974,2.0,1.0,-0.43944,-0.509676,14,1.0,0.094919,False,2.0,2.0,-0.3843439945041267,0.4152468130418307,0.41061976358289315,-0.607778554894501
Encode-Decode_Experiment-9-1,2397102,Encode-Decode_Experiment-9-1_2397102,1.0,1.0,,,20,1.0,0.075892,False,1.0,2.0,,2.123690843842505,0.41061976358289315,-0.7548208759396834
Encode-Decode_Experiment-9-1,2397102,Encode-Decode_Experiment-9-1_2397102,2.0,0.0,,,20,1.0,0.075892,False,1.0,1.0,,2.123690843842505,0.41061976358289315,-0.7548208759396834
Encode-Decode_Experiment-9-1,2349475,Encode-Decode_Experiment-9-1_2349475,1.0,1.0,,,12,1.0,0.052731,False,2.0,2.0,,-0.15423453055839403,0.41061976358289315,-0.933811110749557
Encode-Decode_Experiment-9-1,2349475,Encode-Decode_Experiment-9-1_2349475,2.0,1.0,,,12,1.0,0.052731,False,2.0,1.0,,-0.15423453055839403,0.41061976358289315,-0.933811110749557
Encode-Decode_Experiment-9-1,2345035,Encode-Decode_Experiment-9-1_2345035,1.0,1.0,0.134996,0.20288,14,1.0,0.186172,False,3.0,2.0,-0.08281228277404157,0.4152468130418307,0.41061976358289315,0.09743261461913866
Encode-Decode_Experiment-9-1,2345035,Encode-Decode_Experiment-9-1_2345035,2.0,1.0,0.134996,0.20288,14,1.0,0.186172,False,3.0,1.0,-0.08281228277404157,0.4152468130418307,0.41061976358289315,0.09743261461913866
Encode-Decode_Experiment-9-1,2383555,Encode-Decode_Experiment-9-1_2383555,1.0,1.0,-0.030582,0.716127,12,1.0,0.212096,False,3.0,1.0,-0.16972713101622006,-0.15423453055839403,0.41061976358289315,0.29777555521804056
Encode-Decode_Experiment-9-1,2383555,Encode-Decode_Experiment-9-1_2383555,2.0,1.0,-0.030582,0.716127,12,1.0,0.212096,False,3.0,2.0,-0.16972713101622006,-0.15423453055839403,0.41061976358289315,0.29777555521804056
Encode-Decode_Experiment-9-1,2410309,Encode-Decode_Experiment-9-1_2410309,1.0,1.0,0.838925,0.203117,18,1.0,0.133499,False,2.0,2.0,0.2866926164774801,1.5542095002422802,0.41061976358289315,-0.3096289387740861
Encode-Decode_Experiment-9-1,2410309,Encode-Decode_Experiment-9-1_2410309,2.0,1.0,0.838925,0.203117,18,1.0,0.133499,False,2.0,1.0,0.2866926164774801,1.5542095002422802,0.41061976358289315,-0.3096289387740861
Encode-Decode_Experiment-9-1,2374670,Encode-Decode_Experiment-9-1_2374670,1.0,1.0,,,16,1.0,0.249228,False,2.0,1.0,,0.9847281566420555,0.41061976358289315,0.5847349006245529
Encode-Decode_Experiment-9-1,2374670,Encode-Decode_Experiment-9-1_2374670,2.0,1.0,,,16,1.0,0.249228,False,2.0,2.0,,0.9847281566420555,0.41061976358289315,0.5847349006245529
Encode-Decode_Experiment-9-1,2369373,Encode-Decode_Experiment-9-1_2369373,1.0,1.0,,-0.344658,13,1.0,0.201701,False,2.0,1.0,,0.13050614124171833,0.41061976358289315,0.21744208555573583
Encode-Decode_Experiment-9-1,2369373,Encode-Decode_Experiment-9-1_2369373,2.0,1.0,,-0.344658,13,1.0,0.201701,False,2.0,2.0,,0.13050614124171833,0.41061976358289315,0.21744208555573583
Encode-Decode_Experiment-9-1,2394020,Encode-Decode_Experiment-9-1_2394020,1.0,1.0,-2.01876,0.907494,18,1.0,0.315087,False,2.0,1.0,-1.213357257895624,1.5542095002422802,0.41061976358289315,1.0936990159193793
Encode-Decode_Experiment-9-1,2394020,Encode-Decode_Experiment-9-1_2394020,2.0,1.0,-2.01876,0.907494,18,1.0,0.315087,False,2.0,2.0,-1.213357257895624,1.5542095002422802,0.41061976358289315,1.0936990159193793
Encode-Decode_Experiment-9-1,2385550,Encode-Decode_Experiment-9-1_2385550,1.0,1.0,-0.940507,-0.980305,12,1.0,0.567382,False,1.0,1.0,-0.6473630082871392,-0.15423453055839403,0.41061976358289315,3.0434568541542184
