SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,svg_z_all_enc_z,lcs_enc_dec_z,n_fixations_enc_z,aoi_prop_enc_z,mean_salience_enc_z
Encode-Decode_Experiment-2-1,2345035,-0.664166,-0.779499,40,0.875,0.228074,False,-0.394948,-0.401342,13,1.0,0.243879,False,3.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,81.0,-1.4272242069383927,1.4908114562418715,1.1277750806975062,-0.4769395061924222,0.35336194690807177
Encode-Decode_Experiment-2-1,2371471,-0.504208,0.023739,32,1.0,0.48056,False,,,14,1.0,0.139538,False,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.3197360474362974,1.4908114562418715,-0.6609866586710499,0.9721175020277478,3.41430803952407
Encode-Decode_Experiment-2-1,2347400,2.544912,2.734828,37,0.9459,0.22687,False,1.434294,-0.235817,15,1.0,0.118355,False,4.0,0.666667,1.0,5.0,5.0,1.0,0.0,6.0,1.0,0.0,134.0,0.7292036548669873,0.24711802023985988,0.45698942843429763,0.3449656288700578,0.33876557683008846
Encode-Decode_Experiment-2-1,2383555,0.002267,0.725924,37,0.8919,0.221859,False,0.436293,0.130724,15,0.9333,0.124215,False,5.0,0.5,0.2,,,,,,,,132.0,-0.9793962983532649,-0.37473056330316556,0.45698942843429763,-0.2810269986810549,0.2780160664806088
Encode-Decode_Experiment-2-1,2348899,3.87696,3.694145,37,1.0,0.193031,False,-0.606221,-0.293558,15,0.8667,0.134571,False,2.0,0.5,1.0,3.0,6.0,0.0,0.0,3.0,1.0,0.0,112.0,1.624309794531443,-0.37473056330316556,0.45698942843429763,0.9721175020277478,-0.0714724356855865
Encode-Decode_Experiment-2-1,2374670,1.917099,2.658246,33,0.8485,0.270729,False,-1.029869,-0.936618,12,1.0,0.305899,False,3.0,0.75,1.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,83.0,0.30732751312047296,0.558040446469353,-0.4373914412499804,-0.7841395919350979,0.8704783635828
Encode-Decode_Experiment-2-1,2387122,0.299138,-1.051637,38,1.0,0.20467,False,,,11,0.0909,0.008175,True,0.0,0.0,,3.0,3.0,0.0,1.0,3.0,1.0,0.0,102.0,-0.7799056983235914,-2.2402725828482026,0.6805846458553672,0.9721175020277478,0.06962984947857132
Encode-Decode_Experiment-2-1,2386442,3.055224,4.130084,43,1.0,0.121236,False,0.703086,1.949695,14,0.9286,0.044563,False,2.0,0.5,1.0,4.0,6.0,0.0,0.0,4.0,1.0,0.0,193.0,1.0721217811991073,-0.37473056330316556,1.7985607329607147,0.9721175020277478,-0.9418598025865855
Encode-Decode_Experiment-2-1,2394020,2.381256,2.262446,37,0.7297,0.351042,False,,,13,0.8462,0.089789,False,2.0,0.666667,1.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,63.0,0.6192305229731471,0.24711802023985988,0.45698942843429763,-2.161323372547548,1.8441314118162417
Encode-Decode_Experiment-3-1,2348899,3.36501,3.31332,33,0.9697,0.196117,False,0.480829,,6,1.0,0.089038,False,3.0,0.75,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,50.0,1.2802909692329416,0.558040446469353,-0.4373914412499804,0.6208660832351787,-0.034060144937533204
Encode-Decode_Experiment-3-1,2385550,2.299355,-1.05642,34,0.9706,0.158456,False,1.878046,1.043476,10,1.0,0.095316,False,2.0,0.5,1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,75.0,0.5641949026766871,-0.37473056330316556,-0.2137962238289109,0.6312992936943641,-0.4906331461891318
Encode-Decode_Experiment-3-1,2349475,-0.27773,0.217797,37,0.8649,0.065952,False,1.057191,1.399735,14,1.0,0.083703,False,4.0,0.4,0.0,,,,,,,,47.0,-1.1675479518879939,-0.7478389672121729,0.45698942843429763,-0.5940233124566119,-1.6120805030776342
Encode-Decode_Experiment-3-1,2350974,1.53063,1.33825,37,0.8108,0.228493,False,1.906416,-0.098148,18,0.8889,0.184981,False,4.0,0.5,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,42.0,0.04762908281617252,-0.37473056330316556,0.45698942843429763,-1.2211751856143018,0.35844158068105764
Encode-Decode_Experiment-3-1,2371471,1.614844,1.496415,32,1.0,0.351353,False,0.313723,-0.77121,15,0.9333,0.188777,False,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.10421898681790707,-0.37473056330316556,-0.6609866586710499,0.9721175020277478,1.8479017366453554
Encode-Decode_Experiment-3-1,2356125,1.111384,-0.108081,37,0.8378,0.278912,False,,,9,1.0,0.040274,True,1.0,1.0,,3.0,7.0,1.0,0.0,4.0,1.0,0.0,71.0,-0.23409475043140152,1.4908114562418715,0.45698942843429763,-0.9081788718387449,0.9696827625430461
Encode-Decode_Experiment-3-1,2387122,1.463204,1.919942,41,1.0,0.118037,False,,,14,0.2143,0.07146,True,2.0,1.0,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,55.0,0.0023203352537606624,1.4908114562418715,1.3513702981185758,0.9721175020277478,-0.9806420184333199
Encode-Decode_Experiment-3-1,2369373,0.358287,1.216223,40,0.85,0.249228,False,1.774127,,11,0.9091,0.169613,False,2.0,0.166667,-1.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,22.0,-0.7401589076260991,-1.6184239993051772,1.1277750806975062,-0.7667509078364565,0.6098167746735671
Encode-Decode_Experiment-3-1,2394020,2.992126,-0.912561,31,0.9032,0.241137,False,,,12,1.0,0.115845,True,2.0,0.5,-1.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,47.0,1.029721351784741,-0.37473056330316556,-0.8845818760921195,-0.1500322451379518,0.5117277129618045
Encode-Decode_Experiment-3-1,2370664,2.33037,-1.131153,38,0.9474,0.122624,False,-0.405178,,7,0.4286,0.282149,False,1.0,0.333333,,1.0,5.0,0.0,0.0,1.0,1.0,0.0,41.0,0.5850362814571013,-0.9965791468461911,0.6805846458553672,0.3623543129687005,-0.9250327580116349
Encode-Decode_Experiment-3-1,150472,1.414777,-1.126348,36,1.0,0.095156,False,1.028901,1.152083,7,1.0,0.052404,False,2.0,0.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,-0.03022151385793096,-1.3075015730756843,0.23339421101322813,0.9721175020277478,-1.2580336660698093
Encode-Decode_Experiment-3-1,2411268,3.48747,4.475641,41,0.878,0.203535,False,,,13,1.0,0.07675,True,1.0,0.5,,3.0,7.0,0.0,0.0,3.0,1.0,0.0,64.0,1.3625813205290735,-0.37473056330316556,1.3513702981185758,-0.4421621379951381,0.055869982336950993
