SubjectID,StimID,svg_z_all_enc,svg_z_inter_enc,n_fixations_enc,aoi_prop_enc,mean_salience_enc,low_n_enc,svg_z_all_dec,svg_z_inter_dec,n_fixations_dec,aoi_prop_dec,mean_salience_dec,low_n_dec,n_shared_enc_dec,lcs_enc_dec,tau_enc_dec,n_relational_correct,n_objects_correct,n_relational_incorrect,n_objects_incorrect,n_relational_total,any_relational_correct,empty_response,writing_length,lcs_enc_dec_z,tau_enc_dec_z,n_fixations_dec_z,aoi_prop_dec_z,mean_salience_dec_z
Encode-Decode_Experiment-3-1,2344622,-1.072029,-1.182168,42,0.9048,0.18236,False,-0.459143,,7,1.0,0.104069,False,3.0,0.5,-0.333333,3.0,5.0,0.0,0.0,3.0,1.0,0.0,54.0,-0.34282759941566715,-0.8864148966017905,-1.3851675236800616,0.610208466671487,-0.4309707467818735
Encode-Decode_Experiment-3-1,2410309,-1.187929,-0.332776,49,0.9796,0.198075,False,,,6,1.0,0.15008,False,2.0,0.5,-1.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,61.0,-0.34282759941566715,-1.8205414825145803,-1.5929426522320709,0.610208466671487,0.08330989059174077
Encode-Decode_Experiment-3-1,2408717,0.08765,-0.272307,39,0.641,0.223449,False,0.308915,,15,1.0,0.1852,False,3.0,0.75,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,47.0,0.7458884493491187,0.9818368740346106,0.27703350473601246,0.610208466671487,0.4758581069869798
Encode-Decode_Experiment-3-1,2345035,-0.376141,-1.533435,47,0.766,0.169135,False,0.005465,,7,0.7143,0.250669,False,2.0,0.666667,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,56.0,0.3829845513822551,0.9818368740346106,-1.3851675236800616,-2.287041400255133,1.2076274458018967
Encode-Decode_Experiment-3-1,2409918,3.767248,2.518439,43,0.7907,0.13324,False,,,11,1.0,0.021559,False,2.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,30.0,1.8346044981139045,0.9818368740346106,-0.5540670094720246,0.610208466671487,-1.3532131538083871
Encode-Decode_Experiment-3-1,2367132,4.468619,6.897704,34,0.9118,0.090705,False,-1.508302,-0.005077,12,1.0,0.04617,False,3.0,0.666667,-0.333333,2.0,5.0,0.0,0.0,2.0,1.0,0.0,42.0,0.3829845513822551,-0.8864148966017905,-0.3462918809200153,0.610208466671487,-1.0781276141243545
Encode-Decode_Experiment-3-1,2412687,0.351895,0.718067,32,0.9375,0.106788,False,0.638552,,20,0.95,0.025826,False,4.0,0.25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,-1.4315436481804529,-1.8205414825145803,1.3159091474960587,0.10316438775538213,-1.3055194397036467
Encode-Decode_Experiment-3-1,2362704,1.760833,-1.029999,37,0.9459,0.169971,False,,,7,0.5714,0.01996,False,3.0,0.333333,-1.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,35.0,-1.0686397502135894,-1.8205414825145803,-1.3851675236800616,-3.7361733777973596,-1.3710857220890245
Encode-Decode_Experiment-3-1,2383555,-0.45513,-0.065815,39,0.8205,0.192574,False,0.737571,-0.029828,19,0.8947,0.134081,False,6.0,0.5,0.2,,,,,,,,10.0,-0.34282759941566715,-0.1391144685850657,1.1081340189440494,-0.45762636352582836,-0.09551638828375528
Encode-Decode_Experiment-3-1,2360001,3.127842,1.011341,41,0.9756,0.236939,False,-1.566644,-1.06075,12,1.0,0.217801,False,3.0,0.25,-1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,45.0,-1.4315436481804529,-1.8205414825145803,-0.3462918809200153,0.610208466671487,0.8402506013691318
Encode-Decode_Experiment-4-1,2397102,3.316107,4.247669,36,1.0,0.116982,False,-0.365647,-0.891449,19,0.9474,0.065275,False,2.0,0.25,-1.0,5.0,9.0,0.0,1.0,5.0,1.0,0.0,193.0,-1.4315436481804529,-1.8205414825145803,1.1081340189440494,0.07679809565174535,-0.8645845140608284
