SubjectID,StimID,Phase,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc_dec,lcs_len_enc_dec,tau_enc_dec,tau_p_enc_dec,n_shared_enc_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,q2_accuracy,q2_rt_ms,q2_confidence,q2_present_order,q1_accuracy,q1_rt_ms,q1_confidence,q1_present_order,dec_total_correct,dec_trial_index
Encode-Decode_Experiment-2-1,2385550,encoding,1.26953,0.5,0.300417,0.15721,0.625491,0.166667,0.10375,0.100588,12,6,2,False,,,,,,19,17,0.8947,0.292339,1.0,5620.0,4.0,4.0,2.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2383555,encoding,-0.327173,0.1,0.1404,0.123482,,0.0,0.0,0.0,10,1,0,False,,,,,,20,17,0.85,0.130901,1.0,3235.0,3.0,3.0,3.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,150472,encoding,0.080248,0.583333,0.570083,0.165112,-0.52532,0.166667,0.24325,0.145784,12,7,2,False,,,,,,17,17,1.0,0.095501,1.0,4657.0,3.0,3.0,4.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2356125,encoding,2.967417,0.636364,0.215273,0.141905,1.84264,0.181818,0.051455,0.070748,11,7,2,False,,,,,,17,15,0.8824,0.262254,1.0,4486.0,3.0,3.0,5.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2408717,encoding,-0.436996,0.166667,0.22575,0.135204,0.169754,0.166667,0.148333,0.107999,12,2,2,False,,,,,,18,14,0.7778,0.249679,1.0,5579.0,4.0,4.0,6.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2350974,encoding,0.444331,0.6,0.496,0.23406,0.450883,0.6,0.4898,0.244409,5,3,3,False,,,,,,20,16,0.8,0.332084,1.0,7228.0,4.0,4.0,7.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2394020,encoding,0.625759,0.5,0.331,0.270072,,0.0,0.0,0.0,4,2,0,False,,,,,,12,10,0.8333,0.35012,1.0,5819.0,1.0,1.0,8.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2362704,encoding,-0.031085,0.090909,0.094091,0.10236,,0.0,0.0,0.0,11,1,0,False,,,,,,14,14,1.0,0.148821,1.0,4066.0,1.0,1.0,9.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2347400,encoding,0.189106,0.2,0.165,0.185081,,0.0,0.0,0.0,5,1,0,False,,,,,,12,11,0.9167,0.171852,0.0,4095.0,3.0,4.0,10.0,,,,,,,,,,
Encode-Decode_Experiment-2-1,2347025,encoding,-1.226662,0.444444,0.666778,0.181251,,0.0,0.0,0.0,9,4,0,False,,,,,,17,16,0.9412,0.055449,1.0,5308.0,3.0,3.0,11.0,,,,,,,,,,
