SubjectID,StimID,Phase,ViewingNumber,svg_z_all,svg_obs_all,svg_null_mean_all,svg_null_std_all,svg_z_inter,svg_obs_inter,svg_null_mean_inter,svg_null_std_inter,n_transitions,n_relational_all,n_relational_inter,low_n,lcs_enc2_dec,lcs_len_enc2_dec,tau_enc2_dec,tau_p_enc2_dec,n_shared_enc2_dec,lcs_enc1_enc2,lcs_len_enc1_enc2,tau_enc1_enc2,tau_p_enc1_enc2,n_shared_enc1_enc2,lcs_enc1_dec,lcs_len_enc1_dec,tau_enc1_dec,tau_p_enc1_dec,n_shared_enc1_dec,n_fixations,n_aoi,aoi_prop,mean_salience,enc_accuracy,enc_rt_ms,enc_response,enc_correct_key,enc_trial_index,dec_accuracy,dec_rt_ms,dec_response,dec_correct_key,dec_confidence,dec_trial_index
Encode-Decode_Experiment-1-1,2409918,encoding,2.0,0.575761,0.5,0.4029,0.168646,1.49209,0.5,0.2736,0.151733,10,5,5,False,,,,,,0.75,3.0,0.333333,0.75,4.0,,,,,,15,14,0.9333,0.154834,1,4977,4,4,16,1,5571,1,1,4,13
Encode-Decode_Experiment-1-1,2374670,encoding,2.0,0.044216,0.5,0.489833,0.229932,0.418345,0.5,0.4065,0.2235,6,3,3,False,,,,,,0.6,3.0,0.666667,0.333333,4.0,,,,,,9,7,0.7778,0.130593,1,3332,3,3,19,1,6319,1,1,4,4
Encode-Decode_Experiment-1-1,2347400,encoding,2.0,0.823046,0.8,0.5978,0.245673,1.171796,0.8,0.4986,0.257212,5,4,4,False,,,,,,0.6,3.0,1.0,0.333333,3.0,,,,,,14,10,0.7143,0.135782,1,2820,1,1,10,0,9824,1,4,3,20
Encode-Decode_Experiment-1-1,2410309,encoding,2.0,1.638725,0.5,0.198,0.18429,1.672449,0.5,0.193,0.183563,6,3,3,False,,,,,,0.6,3.0,0.333333,0.75,4.0,,,,,,12,11,0.9167,0.230234,1,4082,4,4,33,1,8992,2,2,4,30
Encode-Decode_Experiment-1-1,2347025,encoding,2.0,-0.310634,0.428571,0.491714,0.203271,-0.347524,0.428571,0.5,0.205536,7,3,3,False,,,,,,0.75,3.0,1.0,0.333333,3.0,,,,,,14,14,1.0,0.149537,1,8297,2,2,18,1,7388,3,3,4,29
Encode-Decode_Experiment-1-1,2356125,encoding,1.0,-0.06061,0.307692,0.316846,0.151029,1.035447,0.153846,0.072846,0.078227,13,4,2,False,,,,,,,,,,,,,,,,19,16,0.8421,0.108256,1,3067,1,1,50,1,4923,3,3,4,12
Encode-Decode_Experiment-1-1,2387122,encoding,2.0,0.293014,0.75,0.67025,0.272172,0.61646,0.5,0.33725,0.264007,4,3,2,False,,,,,,0.666667,2.0,-0.333333,1.0,3.0,,,,,,7,6,0.8571,0.096634,1,7698,1,1,28,1,6595,2,2,4,25
Encode-Decode_Experiment-1-1,2367132,encoding,1.0,2.278668,0.5,0.1897,0.136176,2.869269,0.4,0.0979,0.105288,10,5,4,False,,,,,,,,,,,,,,,,18,14,0.7778,0.071766,1,8042,4,4,52,1,6612,3,3,4,5
Encode-Decode_Experiment-1-1,2367132,encoding,2.0,2.290393,0.5,0.1935,0.13382,-0.275248,0.1,0.1314,0.114079,10,5,1,False,,,,,,0.5,3.0,0.333333,0.75,4.0,,,,,,12,12,1.0,0.100398,1,8042,4,4,52,1,6612,3,3,4,5
Encode-Decode_Experiment-1-1,2369373,encoding,1.0,-0.639857,0.285714,0.378357,0.144787,0.401082,0.071429,0.046429,0.062331,14,4,1,False,,,,,,,,,,,,,,,,18,18,1.0,0.132613,0,10263,4,3,54,1,9185,2,2,4,24
Encode-Decode_Experiment-1-1,2369373,encoding,2.0,1.340414,0.4,0.1604,0.178751,,0.0,0.0,0.0,5,2,0,False,,,,,,0.5,2.0,0.0,1.0,4.0,,,,,,14,13,0.9286,0.076506,0,10263,4,3,54,1,9185,2,2,4,24
Encode-Decode_Experiment-1-1,2356125,encoding,2.0,0.748716,0.333333,0.198833,0.179641,0.715211,0.333333,0.2005,0.185726,6,2,2,False,,,,,,0.6,3.0,1.0,0.333333,3.0,,,,,,12,11,0.9167,0.159805,1,3067,1,1,50,1,4923,3,3,4,12
Encode-Decode_Experiment-1-1,2350974,encoding,2.0,-0.180013,0.142857,0.172286,0.16348,,0.0,0.0,0.0,7,1,0,False,,,,,,0.666667,2.0,0.333333,1.0,3.0,,,,,,13,12,0.9231,0.199753,0,5670,2,4,8,0,22796,3,4,1,26
Encode-Decode_Experiment-1-1,2379478,encoding,2.0,-0.017759,0.666667,0.672,0.300323,0.070888,0.666667,0.645,0.305646,3,2,2,False,,,,,,1.0,3.0,1.0,0.333333,3.0,,,,,,7,7,1.0,0.420373,0,5896,3,4,5,1,3279,2,2,4,2
Encode-Decode_Experiment-1-1,150472,encoding,2.0,0.215976,0.571429,0.524571,0.216956,-0.237325,0.285714,0.336143,0.212487,7,4,2,False,,,,,,0.571429,4.0,0.6,0.233333,5.0,,,,,,8,8,1.0,0.093353,1,3609,4,4,44,1,11463,3,3,4,15
Encode-Decode_Experiment-1-1,2349475,encoding,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,True,,,,,,0.5,1.0,,,1.0,,,,,,11,8,0.7273,0.074512,1,19361,1,1,1,1,8781,4,4,4,28
Encode-Decode_Experiment-1-1,2386442,decoding,,1.636012,0.7,0.3872,0.191197,2.076004,0.5,0.1986,0.145183,10,7,5,False,,,,,,,,,,,,,,,,14,14,1.0,0.166077,1,3171,4,4,23,1,3215,1,1,4,1
Encode-Decode_Experiment-1-1,2379478,decoding,,0.999493,0.2,0.0969,0.103152,0.939515,0.2,0.1017,0.104628,10,2,2,False,,,,,,,,,,,,,,,,17,15,0.8824,0.351095,0,5896,3,4,5,1,3279,2,2,4,2
Encode-Decode_Experiment-1-1,2408717,decoding,,-0.453075,0.384615,0.456846,0.159424,0.530239,0.153846,0.104846,0.092411,13,5,2,False,,,,,,,,,,,,,,,,19,19,1.0,0.139577,0,6643,4,3,7,0,4293,1,4,4,3
Encode-Decode_Experiment-1-1,2374670,decoding,,1.061246,0.555556,0.358667,0.185526,1.575772,0.444444,0.207556,0.150332,9,5,4,False,,,,,,,,,,,,,,,,13,13,1.0,0.251766,1,3332,3,3,19,1,6319,1,1,4,4
Encode-Decode_Experiment-1-1,2367132,decoding,,0.359476,0.375,0.30575,0.192641,-0.448402,0.125,0.196875,0.160291,8,3,1,False,,,,,,,,,,,,,,,,16,16,1.0,0.101941,1,8042,4,4,52,1,6612,3,3,4,5
Encode-Decode_Experiment-1-1,2362704,decoding,,0.342329,0.3,0.2454,0.159496,0.684386,0.3,0.2019,0.14334,10,3,3,False,,,,,,,,,,,,,,,,17,15,0.8824,0.259345,1,3339,4,4,36,1,3480,1,1,4,6
Encode-Decode_Experiment-1-1,2385851,decoding,,0.665235,0.5,0.3285,0.257804,,0.0,0.0,0.0,4,2,0,False,,,,,,,,,,,,,,,,13,11,0.8462,0.051929,1,6026,3,3,6,1,10554,1,1,4,7
Encode-Decode_Experiment-1-1,2385550,decoding,,2.358822,0.7,0.3372,0.153806,2.076205,0.6,0.2695,0.159185,10,7,6,False,,,,,,,,,,,,,,,,16,15,0.9375,0.306909,1,3413,4,4,32,1,7346,4,4,4,8
Encode-Decode_Experiment-1-1,2360001,decoding,,-1.003426,0.0,0.1062,0.105837,-0.530399,0.0,0.033,0.062217,10,0,0,False,,,,,,,,,,,,,,,,13,13,1.0,0.156373,1,5867,4,4,14,1,7925,2,2,4,9
Encode-Decode_Experiment-1-1,2348899,decoding,,1.093149,0.375,0.198625,0.161346,1.079549,0.375,0.19875,0.163263,8,3,3,False,,,,,,,,,,,,,,,,16,16,1.0,0.193599,0,4792,4,1,4,1,16808,4,4,4,10
Encode-Decode_Experiment-1-1,2356991,decoding,,-0.558442,0.0,0.061833,0.110725,,0.0,0.0,0.0,6,0,0,False,,,,,,,,,,,,,,,,12,9,0.75,0.057163,1,7042,2,2,22,1,2858,2,2,2,11
Encode-Decode_Experiment-1-1,2356125,decoding,,1.146405,0.571429,0.343286,0.199007,2.500316,0.571429,0.167143,0.161694,7,4,4,False,,,,,,,,,,,,,,,,12,12,1.0,0.085575,1,3067,1,1,50,1,4923,3,3,4,12
Encode-Decode_Experiment-1-1,2409918,decoding,,,1.0,1.0,0.0,,0.0,0.0,0.0,4,4,0,False,,,,,,,,,,,,,,,,12,11,0.9167,0.028887,1,4977,4,4,16,1,5571,1,1,4,13
Encode-Decode_Experiment-1-1,2397102,decoding,,0.49649,0.375,0.284,0.183287,0.436257,0.25,0.184125,0.151,8,3,2,False,,,,,,,,,,,,,,,,12,12,1.0,0.03253,1,4532,3,3,25,1,6904,3,3,4,14
Encode-Decode_Experiment-1-1,150472,decoding,,0.520837,0.416667,0.331333,0.163839,-1.055032,0.083333,0.241167,0.1496,12,5,1,False,,,,,,,,,,,,,,,,14,14,1.0,0.091413,1,3609,4,4,44,1,11463,3,3,4,15
Encode-Decode_Experiment-1-1,2412687,decoding,,1.112294,1.0,0.671333,0.295485,0.043325,0.333333,0.32,0.307752,3,3,1,False,,,,,,,,,,,,,,,,12,7,0.5833,0.150008,1,4090,3,3,9,1,7844,3,3,4,16
Encode-Decode_Experiment-1-1,2344622,decoding,,,1.0,1.0,0.0,,0.0,0.0,0.0,3,3,0,False,,,,,,,,,,,,,,,,9,9,1.0,0.198338,1,4367,4,4,20,1,12607,3,3,4,17
Encode-Decode_Experiment-1-1,2370664,decoding,,-0.404724,0.5,0.651,0.373094,0.418783,0.5,0.3425,0.37609,2,1,1,False,,,,,,,,,,,,,,,,11,11,1.0,0.089477,1,3918,4,4,3,1,7548,1,1,4,18
Encode-Decode_Experiment-1-1,2394020,decoding,,1.218187,1.0,0.668,0.272536,1.274814,1.0,0.653,0.272197,4,4,4,False,,,,,,,,,,,,,,,,10,10,1.0,0.348521,1,3208,2,2,17,0,8839,3,1,4,19
Encode-Decode_Experiment-1-1,2347400,decoding,,0.39682,0.25,0.171,0.199083,0.4008,0.25,0.1665,0.208333,4,1,1,False,,,,,,,,,,,,,,,,8,8,1.0,0.176131,1,2820,1,1,10,0,9824,1,4,3,20
Encode-Decode_Experiment-1-1,2383555,decoding,,1.937219,0.666667,0.305111,0.186636,2.08229,0.666667,0.294333,0.178809,9,6,6,False,,,,,,,,,,,,,,,,15,14,0.9333,0.281215,1,4899,4,4,29,1,6345,3,3,4,21
Encode-Decode_Experiment-1-1,2371471,decoding,,,1.0,1.0,0.0,,1.0,1.0,0.0,2,2,2,False,,,,,,,,,,,,,,,,17,14,0.8235,0.085321,1,7325,3,3,12,1,13810,3,3,4,22
Encode-Decode_Experiment-1-1,2345035,decoding,,1.269276,0.8,0.504,0.233204,2.404577,0.6,0.1646,0.181071,5,4,3,False,,,,,,,,,,,,,,,,13,13,1.0,0.107342,0,6578,1,2,2,1,5276,4,4,4,23
Encode-Decode_Experiment-1-1,2369373,decoding,,-0.510051,0.166667,0.27,0.202594,,0.0,0.0,0.0,6,1,0,False,,,,,,,,,,,,,,,,14,14,1.0,0.143914,0,10263,4,3,54,1,9185,2,2,4,24
Encode-Decode_Experiment-1-1,2387122,decoding,,0.235219,0.375,0.33,0.191311,-0.103138,0.125,0.140125,0.146648,8,3,1,False,,,,,,,,,,,,,,,,17,11,0.6471,0.137054,1,7698,1,1,28,1,6595,2,2,4,25
Encode-Decode_Experiment-1-1,2350974,decoding,,-1.066483,0.125,0.328875,0.191166,-0.275505,0.125,0.166375,0.150179,8,1,1,False,,,,,,,,,,,,,,,,16,16,1.0,0.138417,0,5670,2,4,8,0,22796,3,4,1,26
Encode-Decode_Experiment-1-1,2411268,decoding,,0.703672,0.666667,0.490333,0.25059,-0.04386,0.333333,0.343167,0.224197,6,4,2,False,,,,,,,,,,,,,,,,12,12,1.0,0.112599,1,6987,4,4,27,1,8115,4,4,4,27
Encode-Decode_Experiment-1-1,2349475,decoding,,1.551314,0.25,0.096833,0.098734,1.646678,0.25,0.09225,0.095799,12,3,3,False,,,,,,,,,,,,,,,,19,18,0.9474,0.065076,1,19361,1,1,1,1,8781,4,4,4,28
Encode-Decode_Experiment-1-1,2347025,decoding,,1.27501,0.692308,0.492769,0.1565,0.743001,0.307692,0.208615,0.133347,13,9,4,False,,,,,,,,,,,,,,,,18,17,0.9444,0.077169,1,8297,2,2,18,1,7388,3,3,4,29
Encode-Decode_Experiment-1-1,2410309,decoding,,0.582849,0.285714,0.184286,0.174022,1.606297,0.285714,0.091143,0.12113,7,2,2,False,,,,,,,,,,,,,,,,15,15,1.0,0.250673,1,4082,4,4,33,1,8992,2,2,4,30
